ARA,L10SLA,WSG,MaxH,L10SM
insensitive,-0.205417521,-0.633033616,-0.642981849,0.779099067
insensitive,-1.068247073,-0.823813391,3.815979474,1.73369064
insensitive,-1.414918419,-0.026054218,1.337600621,1.229779635
insensitive,,0.204249581,1.02328533,0.915318658
insensitive,-1.263441713,0.575366397,0.255059024,0.80758944
insensitive,-0.483008193,1.513145811,-1.01486119,0.790997733
insensitive,,0.720112007,0.552942694,0.636836481
insensitive,-1.173162268,0.379980383,-0.122770206,0.514057165
insensitive,-1.040919405,-0.554499014,0.48165229,0.23469788
insensitive,0.839955776,-0.470485647,-0.701304315,0.161107657
insensitive,-0.586539776,1.677031006,0.239380936,-0.084713861
insensitive,-0.706621964,-0.574033759,0.630706009,-0.499100807
insensitive,0.166597885,0.415339176,-0.262317876,-1.531202443
insensitive,-0.014957836,-0.029645908,1.462347651,0.791667876
insensitive,0.217434324,0.421112043,2.230498096,0.764633219
insensitive,-0.066859129,1.1198544,-1.01486119,0.61902779
insensitive,-0.030265766,-2.064657217,1.10167584,0.539300306
insensitive,0.721369813,0.310947133,1.838026983,0.09896842
insensitive,-0.13055674,0.014857126,1.642627756,-0.114901179
insensitive,0.046050902,1.666576101,1.838026983,-0.261492919
insensitive,,0.204249581,-0.073678466,-0.404381215
insensitive,-0.911002876,-0.732077082,0.255059024,0.533627102
insensitive,-0.044076468,-1.02882309,0.936428723,-0.271010451
insensitive,-0.646236207,-1.288393797,0.239380936,0.327601719
insensitive,,-2.393159898,-0.400285049,-0.52216852
insensitive,1.311373199,0.034836117,0.552942694,0.073697693
insensitive,-0.115239721,-0.731857018,-0.309352139,-0.385014705
insensitive,0.995885235,-0.790227572,0.380961189,-1.164169177
insensitive,1.579833763,-0.515775924,0.239380936,0.930723202
insensitive,,-1.335763364,0.415759995,0.781118722
insensitive,0.541420091,0.048281144,-0.403420667,0.636836481
insensitive,-1.56629597,0.460070228,-0.716982424,0.216830951
insensitive,-1.156534294,-0.419796916,0.751647804,-0.708759241
insensitive,-0.43549822,0.345744078,0.246377354,-0.383527209
insensitive,0.54333077,-0.511960167,0.239380936,-0.541362069
insensitive,,-2.738670609,1.947695848,-4.693329702
insensitive,,0.059749,0.882182539,1.48382654
insensitive,0.432062611,-0.087148609,-0.136893173,0.774530703
insensitive,-0.256655124,0.231144404,0.428445273,0.532757442
insensitive,-0.46004944,-0.056099706,0.763385349,0.310755438
insensitive,0.155703058,-0.516337173,1.384943257,1.324369794
