SEA,L10SLA,WSG,MaxH,L10SM
Rare,,1.190025006,-0.857010866,0.578461059
Rare,,1.190025006,-0.055177329,0.578461059
Rare,,1.190025006,-0.528201878,0.578461059
Rare,,1.190025006,-1.116223849,0.578461059
Rare,,2.902536703,-0.745145612,0.578203653
Rare,,1.887010046,4.660515951,0.572283814
Rare,,2.361365641,1.353631543,0.572283814
Rare,,1.917106315,-1.306608905,0.568699863
Rare,,-1.947887305,0.463496848,0.562451261
Rare,,-0.462410737,-1.145521109,0.561585844
Rare,,-0.462410737,-1.836002865,0.561585844
Rare,,0.096484704,-0.623608579,0.558025802
Rare,,-0.738645975,0.828918645,0.558025802
Rare,,1.397090159,-0.310461028,0.558025802
Rare,,0.484054043,-0.44207386,0.548815
Rare,,0.295669864,0.245165556,0.5460437
Rare,,0.484054043,-1.300215456,0.544040891
Rare,,-0.906046218,0.141431305,0.538043637
Rare,,-0.829912892,-0.130871106,0.535849129
Rare,,-0.829912892,-1.306608905,0.535849129
Rare,,0.374666094,-1.443911886,0.495849914
Rare,,0.374666094,-1.306608905,0.495849914
Rare,,0.374666094,-1.168213585,0.495849914
Rare,,0.597564558,0.387800152,0.471899062
Rare,,0.597564558,-0.468007406,0.471899062
Rare,,0.965023116,,0.443813542
Rare,,-1.707402768,-0.104937543,0.51540888
Rare,,-0.860833059,1.08800635,0.503041239
Rare,,0.484054043,,0.509507559
Rare,,0.484054043,-0.423920366,0.509507559
Rare,,-0.55848072,0.662237469,0.503045979
Rare,,-0.214964359,-0.842117251,0.494212982
Rare,,-0.214964359,0.465600841,0.494212982
Rare,,-0.214964359,-0.001203291,0.494212982
Rare,,-0.584983897,-0.363520291,0.494212982
Rare,,-1.393454928,-0.831077303,0.496128612
Rare,,0.544116039,0.958338539,0.495224502
Rare,,0.614744871,-1.306608905,0.488500094
Rare,,0.484054043,0.569335092,0.486303791
Rare,,0.301763192,-0.857010866,0.485519255
Rare,,0.301763192,-0.338184662,0.485519255
Rare,,0.301763192,-1.764685567,0.485519255
Rare,,0.301763192,-0.948678687,0.485519255
Rare,,1.80683727,3.033027095,0.478552547
Rare,,0.898582569,0.971305317,0.478149015
Rare,,-0.047685499,-1.764685567,0.472950543
Rare,,-0.047685499,-0.745145612,0.472950543
Rare,,1.198860689,0.204157853,0.462825441
Rare,,1.198860689,-0.745145612,0.462825441
Rare,,1.758733604,-0.519874548,0.454808024
Rare,,-0.103947238,1.610086426,0.447323218
Rare,,-0.447383528,-1.82951947,0.444851998
Rare,,0.286112533,0.154398087,0.444851998
Rare,,0.548570085,-0.610641965,0.444851998
Rare,,0.548570085,0.971305317,0.444851998
Rare,,0.08980364,-0.76782383,0.443104611
Rare,,-0.257611726,-0.758220329,0.443104611
Rare,,-0.157395755,-0.528201878,0.435999104
Rare,,-0.844476425,2.07348174,0.435999104
Rare,,0.377090094,1.333065601,0.3319844
Rare,,0.377090094,-0.143837887,0.416249817
Rare,,2.03399347,0.309999464,0.411859413
Rare,,0.484054043,0.258132338,0.411859413
Rare,,0.931825307,-1.725909202,0.407847783
Rare,,0.931825307,-1.836002865,0.407847783
Rare,,0.931825307,-1.660900903,0.407847783
Rare,,0.931825307,-0.72721909,0.407847783
Rare,,0.931825307,-0.745145612,0.407847783
Rare,,0.931825307,-1.116223849,0.407847783
Rare,,0.931825307,-1.168213585,0.407847783
Rare,,-0.855567018,1.010205661,0.403484889
Rare,,0.484054043,-0.806197376,0.398523155
Rare,,1.165455063,2.903355752,0.398523155
Rare,,0.073005532,-1.016934496,0.397538399
Rare,,-0.494437355,4.172575402,0.394426078
Rare,,0.263511322,1.412175894,0.394083578
Rare,,0.434789528,-1.635017096,0.391110239
Rare,,-0.734099663,-1.030367113,0.389481261
Rare,,-0.731916435,-1.504668172,0.389255632
Rare,,-0.010669299,-0.986678681,0.385837959
Rare,,-0.010669299,,0.385837959
Rare,,-0.010669299,-0.623608579,0.385837959
Rare,,-0.010669299,1.610086426,0.385837959
Rare,,-0.010669299,-0.792176959,0.385837959
Rare,,1.365886999,-0.828483947,0.381269998
Rare,,0.512394511,-0.519874548,0.381269998
Rare,,0.512394511,-1.099489679,0.381269998
Rare,,0.512394511,-1.530623589,0.381269998
Rare,,0.512394511,-1.306608905,0.381269998
Rare,,0.512394511,,0.381269998
Rare,,0.512394511,-1.306608905,0.381269998
Rare,,0.331733514,-0.500424377,0.381269998
Rare,,0.43383727,-0.918214073,0.381269998
Rare,,0.512394511,-1.635017096,0.381269998
Rare,,0.512394511,-0.654880004,0.381269998
Rare,,-0.210269676,0.569335092,0.381269998
Rare,,0.512394511,0.284065901,0.381269998
Rare,,0.512394511,-0.117904248,0.381269998
Rare,,-0.438000473,0.050909133,0.381269998
Rare,,0.512394511,-0.055177329,0.381269998
Rare,,0.512394511,0.206265544,0.381269998
Rare,,0.512394511,-0.545808112,0.381269998
Rare,,0.512394511,-0.766243396,0.381269998
Rare,,1.432697647,-0.649542363,0.381269998
Rare,,0.512394511,-0.416140297,0.381269998
Rare,,0.512394511,-0.322188105,0.381269998
Rare,,0.512394511,-1.100526994,0.381269998
Rare,,0.976158226,0.115497742,0.377362021
Rare,,0.606751021,0.958338539,0.378009863
Rare,,-2.843183769,,0.374701751
Rare,,2.057082729,-0.338184662,0.373134781
Rare,,-0.082060307,0.465600841,0.373134781
Rare,,0.484054043,1.178779625,0.373134781
Rare,,0.764591175,-0.837560687,0.372534554
Rare,,0.800024717,-0.72721909,0.35730846
Rare,,1.31355782,-0.455040642,0.35730846
Rare,,1.065848746,-0.630092191,0.357076232
Rare,,0.535096603,-0.72721909,0.357076232
Rare,,0.354163796,-1.635017096,0.357076232
Rare,,0.354163796,-1.070962177,0.357076232
Rare,,0.602471305,,0.355252748
Rare,,0.283554516,-0.036758494,0.355252748
Rare,,0.407154213,-0.648159127,0.350856004
Rare,,0.407154213,0.944594786,0.350856004
Rare,,0.407154213,0.074490039,0.350856004
Rare,,-0.26515086,-1.517941161,0.347131631
Rare,,-0.26515086,-0.846394442,0.347131631
Rare,,-0.26515086,-1.284914654,0.347131631
Rare,,-0.26515086,-0.790800652,0.347131631
Rare,,-0.26515086,-1.401615686,0.347131631
Rare,,-1.034505095,,0.342955578
Rare,,-0.745312879,-1.635017096,0.338925231
Rare,,1.74975379,1.541895708,0.333412764
Rare,,-0.720484893,-0.001203291,0.318128264
Rare,,-0.720484893,-0.986678681,0.318128264
Rare,,0.899070774,-0.805142981,0.318128264
Rare,,0.363727292,-0.014170073,0.316022887
Rare,,0.494008119,-1.306608905,0.315722045
Rare,,0.494008119,-1.306608905,0.315722045
Rare,,0.494008119,-0.130871106,0.315722045
Rare,,0.494008119,0.204157853,0.315722045
Rare,,-1.393454928,,0.311233935
Rare,,0.255895496,1.586041488,0.306232759
Rare,,0.255895496,0.504502172,0.306232759
Rare,,0.587346543,-0.338184662,0.304401721
Rare,,1.848694945,-0.909931671,0.304401721
Rare,,2.091896033,-0.338184662,0.304401721
Rare,,0.587346543,-1.104433393,0.304401721
Rare,,0.587346543,-0.514687836,0.304401721
Rare,,0.951660987,0.180331649,0.304401721
Rare,,1.953820694,-0.636575581,0.304401721
Rare,,0.587346543,0.463496848,0.304401721
Rare,,0.587346543,0.050909133,0.304401721
